Title,Company,Salary,Location,Job Requirements,Date Posted,Industry,Field,Experience,Education,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Work Date,Work Type,Keyword,Industry1,Age Min,Age Max
Warehouse Manager,"Leshines (Hainan) Supply Chain Management Co., Ltd","$ 1,500-2,500 /tháng","Lô CN05, khu công nghiệp hỗ trợ Đồng Văn 3, phường Hoàng Đông, Thị xã Duy Tiên, Tỉnh Hà Nam, Việt Nam, Việt Á Tower, tòa nhà Việt Á, Phố Duy Tân, P, Dịch Vọng Hậu, Cầu Giấy, Hanoi, Vietnam",,2025-05-15,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi,Chuỗi cung ứng,3.0,,,,Nhân viên,"Warehouse Management, Logistics, Warehouse Operation",Tiếng Trung Quốc,Không hiển thị,,,,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Quản Lý Kho & Phân Phối, Chuỗi cung ứng, Warehouse Management, Logistics, Warehouse Operation, Leshines (Hainan) Supply Chain Management Co., Ltd, Hà Nam",Quản Lý Kho & Phân Phối,0,100
"Giám sát Bán hàng (Ngành hàng bánh kẹo/Đà Lạt-Đức Trọng, Bà Rịa-Vũng Tàu)",Perfetti Van Melle (Viet Nam) Limited,Thương lượng,"Đà Lạt + Đức Trọng, Bà Rịa + Vũng Tàu, Tại Perfetti Van Melle, Lot N, Street No.26, Song Than Industrial Zone No.2, Di An District, Binh Duong Province","• Tối thiểu 3 – 5 năm kinh nghiệm làm Giám sát ngành hàng tiêu dùng nhanh (FMCG) cho kênh GT
• Am hiểu địa bàn và có mối quan hệ khách hàng tốt
• Có kiến thức về kênh bán hàng, hiểu kênh phân phối cũng như về kĩ năng quản lí đội ngũ, Nhà phân phối và chăm sóc khách hàng.
• Có kỹ năng thuyết phục, thương lượng với đối tác",,,,,,,,,,,,,,,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Hàng tiêu dùng, Chăm Sóc Khách Hàng, Cung Ứng Ngành Hàng, Quản Trị Đội Ngũ, Thuyết Phục, Kênh Gt, Perfetti Van Melle (Viet Nam) Limited, Lâm Đồng, Bà Rịa - Vũng Tàu, Hà Nội",,0,100
Medical & Sales Training Manager,A France Pharmaceutical Company,Thương lượng,"186 Nguyễn Văn Hưởng, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Việt Nam, 186 Nguyễn Văn Hưởng, Thảo Điền, Thủ Đức City, HCMC",,2025-05-15,Nhân Sự/Tuyển Dụng,Dược phẩm,10.0,,,,Trưởng phòng,"Communication Skills, Functional Knowledge, Sales Management, Training Development",Tiếng Anh,Người Việt Nam,,,,"Nhân Sự/Tuyển Dụng, Đào Tạo Và Phát Triển, Dược phẩm, Communication Skills, Functional Knowledge, Sales Management, Training Development, A France Pharmaceutical Company, Hồ Chí Minh",Đào Tạo Và Phát Triển,0,100
[Slimcase] Graphic Designer,Slimcase,$ 600-800 /tháng,"8- 10 Tạ Hiện, Phường Thạnh Mỹ Lợi, Tp. Thủ Đức, Thành phố Thủ Đức, Thành phố Hồ Chí Minh","- Tốt nghiệp đại học chuyên ngành Thiết kế Đồ họa, Truyền thông Thị giác hoặc lĩnh vực liên quan.",2025-05-15,Thiết Kế,Thương mại điện tử,3.0,Không giới hạn,Không hiển thị,,Mới Tốt Nghiệp,"Thiết Kế Đồ Họa, Graphic Design, Design, Adobe Photoshop, Adobe Illustrator",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Thiết Kế, Thiết Kế Đồ Họa, Thương mại điện tử, Thiết Kế Đồ Họa, Graphic Design, Design, Adobe Photoshop, Adobe Illustrator, Slimcase, Hồ Chí Minh",Thiết Kế Đồ Họa,23,27
Brand Manager_Cosmetic,A France Pharmaceutical Company,Thương lượng,"Hồ Chí Minh, Việt Nam, 186 Nguyễn Văn Hưởng, Thảo Điền, Thủ Đức City, HCMC","Education: Bachelor's degree in Marketing, Pharmaceutical, Business Administration, or related fields. Master’s degree is a plus.

Experience:
• Minimum of 4 years in brand or marketing management, preferably in FMCG, cosmetics, pharmaceuticals, or healthcare sectors.
• Proven experience developing and executing successful brand strategies for healthcare and cosmetic products.
• Experience managing product launches and marketing campaigns and healthcare professionals, baby care and cosmetics are must.
• Experience in international work environments or partnerships with foreign clients is advantageous.

Specific Knowledge
- In-depth understanding of the cosmetics and healthcare market, consumer behavior, and competitive landscape.
- Familiarity with compliance and regulatory requirements in the pharmaceutical and cosmetics industries.

Competencies
- Ability to develop brand and marketing strategies suitable for FMCG, cosmetics, and healthcare sectors.
- Strong communication and interpersonal skills to build relationships with key stakeholders, including medical professionals and retail partners.
- Data-driven mindset and creative problem-solving skills to optimize marketing effectiveness and ROI.
- Up-to-date with the latest marketing trends and best practices in the cosmetics and healthcare industries.
- Expertise in using social media platforms (Facebook, Instagram, LinkedIn, TikTok) for brand promotion.
- Ability to analyze web traffic metrics, search engine performance, and email marketing KPIs.",2025-05-15,"Tiếp Thị, Quảng Cáo/Truyền Thông",Dược phẩm,4.0,Cử nhân,1,08:30 - 17:30,Trưởng phòng,"Communication Skills, Digital Marketing, Market Analysis, Marketing Strategy Development, P&L Management",Tiếng Anh,Người Việt Nam,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Quản Lý Thương Hiệu, Dược phẩm, Communication Skills, Digital Marketing, Market Analysis, Marketing Strategy Development, P&L Management, A France Pharmaceutical Company, Hồ Chí Minh",Quản Lý Thương Hiệu,25,100
Operations Manager,Apparelize LLC,"$ 1,000-3,000 /tháng",39 Le Hien Mai,Must-Have:,2025-05-15,CEO & General Management,Thương mại điện tử,2.0,Cử nhân,Không hiển thị,,Trưởng phòng,"Operations Management, Project Management, Process Optimization, Ecommerce Operations, Team Cooperation",Tiếng Anh,Không hiển thị,Không hiển thị,,Toàn thời gian,"CEO & General Management, Quản Lý Cấp Cao, Thương mại điện tử, Operations Management, Project Management, Process Optimization, Ecommerce Operations, Team Cooperation, Apparelize LLC, Hồ Chí Minh",Quản Lý Cấp Cao,0,100
Sourcing And Supply Chain Director,Source Of ASIA,Thương lượng,"The Galleria Metro 6 Office Tower, 59 Vo Nguyen Giap, Thao Dien Ward, Thu Duc City, Ho Chi Minh City, 59 Xa Lo Ha Noi, Thao Dien Ward, Thu Duc City (District 2), Ho Chi Minh City, Vietnam","Education:
• International Business School’s master degree or equivalent.
Experience:
• Significant experience (ideally 10 years) in Sourcing & Supply Chain, Purchasing or similar, with a preference for international exposure.
• Experience in collaborating with third parties on a strategic level (customers, suppliers, partners etc.)
• Proven track record in team leadership and fostering employee development.
• Proven track record in business strategy & growth achievements.
Required Skills:
• Excellent communication, negotiation, and interpersonal abilities.
• Strong knowledge of Sourcing & Supply Chain businesses.
• Knowhow related to procurement, manufacturing, purchasing, quality & compliance analysis & understanding.
• Expertise in some industries is expected.
• Ability to design and implement strategies while making well-informed decisions.
• Goal-driven mindset, capable of effectively manage multiple projects and priorities simultaneously.
• Thriving & shining under pressure, with a decision-making mind.
• Fair & benevolent mind.
• Contributing to collectives.
Business trip:
• Vietnam, South-East Asia, and potentially worldwide.
Languages:
• English speaking. Vietnamese and French are a plus.
Additional criteria:
• We are seeking strong motivation and a long-term commitment for this key position.",2025-05-15,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi,Nội thất/Gỗ,10.0,Thạc Sĩ,1,9:00 - 18:00,Giám Đốc và Cấp Cao Hơn,"Leadership, Managing Business Growth, Strategic Planning, Supply Chain, Sourcing, Sourcing, Sourcing, Sourcing",Bất kỳ,Không giới hạn,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Quản Lý Chuỗi Cung Ứng, Nội thất/Gỗ, Leadership, Managing Business Growth, Strategic Planning, Supply Chain, Sourcing, Sourcing, Sourcing, Sourcing, Source Of ASIA, Hồ Chí Minh",Quản Lý Chuỗi Cung Ứng,15,60
F&B Director,CÔNG TY TNHH Silverland Hospitality,Thương lượng,"14-16 Lê Lai và 15-17 và 19 (tầng 1 sau + 2) Nguyễn An Ninh, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam, Silverland Hospitality, 14-16 Le Lai St., Dist.1, HCMC",,2025-05-15,Dịch Vụ Ăn Uống,Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch,5.0,,,,Giám Đốc và Cấp Cao Hơn,"F&B Management, Kinh Nghiệm F&B, Operation F&B, F&B, Dịch Vụ Ẩm Thực",Tiếng Anh,Không hiển thị,,,,"Dịch Vụ Ăn Uống, Quản Lý F&B, Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch, F&B Management, Kinh Nghiệm F&B, Operation F&B, F&B, Dịch Vụ Ẩm Thực, CÔNG TY TNHH Silverland Hospitality, Hồ Chí Minh",Quản Lý F&B,0,100
Chuyên Viên Kinh Doanh Quốc Tế,Công Ty CP Dây Cáp Điện Việt Nam - Cadivi,Thương lượng,"CADIVI Tower, 70-72 Nam Kỳ Khởi Nghĩa, Phường Nguyễn Thái Bình, CADIVI Tower, 70-72 Nam Kỳ Khởi Nghĩa, P. Nguyễn Thái Bình, Q. 1, TP. Hồ Chí Minh","Học vấn: Tốt nghiệp Đại học chuyên ngành Kinh doanh/ Thương mại/ Quản trị kinh doanh và các chuyên ngành có liên quan.
Kinh nghiệm: Từ 03 năm trong lĩnh vực Kinh doanh Quốc tế/ Xuất nhập khẩu
Ngoại ngữ: Thông thạo 4 kỹ năng (IELT 6.5+ hoặc TOIEC 800+); biết thêm ngôn ngữ khác là một lợi thế.
Kiến thức:
- Kiến thức về quản trị kinh doanh, ngoại thương, kinh doanh quốc tế
- Có kiến thức về Xuất nhập khẩu là một lợi thế
- Am hiểu về thị trường quốc tế, quy trình xuất nhập khẩu, Logistics, Chính sách thương mại toàn cầu.
Kỹ năng:
- Kỹ năng giao tiếp, đàm phán và truyền đạt thông tin mạch lạc và chuyên nghiệp.
- Kỹ năng phân tích, xử lý vấn đề và khả năng đưa ra giải pháp tối ưu.
Thái độ: Ham học hỏi, máu lửa, đam mê kinh doanh và chủ động

Thời gian làm việc: Từ Thứ 2 - Thứ 7 (có thể WFH 2 ngày Thứ 7/tháng)",2025-05-15,Kinh Doanh,Nhập khẩu/Xuất khẩu,3.0,Cử nhân,Không hiển thị,,Nhân viên,"Xuất Nhập Khẩu, Tiếng Anh, Sales Export, Kinh Doanh Quốc Tế, Kinh Doanh",Tiếng Anh,Người Việt Nam,Bất kỳ,,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Nhập khẩu/Xuất khẩu, Xuất Nhập Khẩu, Tiếng Anh, Sales Export, Kinh Doanh Quốc Tế, Kinh Doanh, Công Ty CP Dây Cáp Điện Việt Nam - Cadivi, Hồ Chí Minh",Bán Hàng/Phát Triển Kinh Doanh,0,100
Trợ Lý/chuyên Viên Hành Chính Biết Tiếng Trung (Admin Staff Chinese Required),CÔNG TY TNHH Ô Tô BYD (Việt Nam),"$ 500-1,500 /tháng","Quận 7, Thành phố Hồ Chí Minh, Việt Nam, COBI TOWER 2, Đường Số 8, Khu đô thị Phú Mỹ Hưng, Tân Phú, Quận 7, Hồ Chí Minh, Việt Nam",,2025-05-15,Hành Chính Văn Phòng,Ô tô,0.0,Không giới hạn,Không hiển thị,,Nhân viên,"Tiếng Trung lưu loát, Hành chính - Admin, HSK, Hành Chính Tổng Hợp, Nghiệp vụ hành chính",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Hành Chính Văn Phòng, Hành Chính, Ô tô, Tiếng Trung lưu loát, Hành chính - Admin, HSK, Hành Chính Tổng Hợp, Nghiệp vụ hành chính, CÔNG TY TNHH Ô Tô BYD (Việt Nam), Hồ Chí Minh",Hành Chính,0,100
[Logistics] Air Freight Manager - Focus Pricing,Navigos Search's Client,"$ 1,500-4,000 /tháng","Hanoi, Hanoi",,2025-05-15,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi,Nhập khẩu/Xuất khẩu,0.0,,,,Trưởng phòng,"Airfreight Experience, Air Freight Forwarding, Procurement Outsourcing, Pricing Experience, Strategic Pricing",Bất kỳ,Không hiển thị,,,,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Thu Mua & Quản Trị Hàng Tồn Kho, Nhập khẩu/Xuất khẩu, Airfreight Experience, Air Freight Forwarding, Procurement Outsourcing, Pricing Experience, Strategic Pricing, Navigos Search's Client, Hà Nội",Thu Mua & Quản Trị Hàng Tồn Kho,0,100
