Title,Company,Salary,Location,Job Requirements,Date Posted,Industry,Field,Experience,Education,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Work Date,Work Type,Keyword,Industry1,Age Min,Age Max
Logistics & Warehouse Assistant Manager,Lixil Vietnam Corporation,Thương lượng,"Dương Xá, Gia Lâm, Hanoi, Vietnam, Dương Xá, Gia Lâm, Hanoi, Vietnam",,2025-05-16,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi,Chuỗi cung ứng,3,,,,Nhân viên,"Xuất Nhập Khẩu, Kho Vận, Xuất Nhập Khẩu Hàng Hóa, Forwarding, Shipping/Logistics",Tiếng Anh,Người Việt Nam,,,,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Vận Tải/Giao Nhận Hàng Hóa, Chuỗi cung ứng, Xuất Nhập Khẩu, Kho Vận, Xuất Nhập Khẩu Hàng Hóa, Forwarding, Shipping/Logistics, Lixil Vietnam Corporation, Hà Nội",Vận Tải/Giao Nhận Hàng Hóa,0,100
Research and Teaching Assistant in Finance,VGU - Vietnamese German University,25tr-30tr ₫/tháng,"Đường Vành đai 4, Khu phố 4, Phường Thới Hòa, TP. Bến Cát, Tỉnh Bình Dương, Trường Đại học Việt Đức, Đường Vành đai 4, Khu phố 4, Phường Thới Hòa, Thành phố Bến Cát, Tỉnh Bình Dương.","1. Qualification
• Master’s degree in Finance, Empirical Finance, Corporate Finance
2. Knowledge
• Good knowledge in related disciplines focus on Finance or other areas closely related to it
3. Skills
• English: at least equivalent to IELTS 6.5
• Experience with statistical software STATA, EVIEWS or R, and programming languages such as Python, R, and C
• Ability to work independently, systematically and in a practice-oriented manner
• Ability to work on own initiatives and to deadlines
• Ability to work as part of a team
• Ability to present information to groups as well as individuals
4. Experience
• Master’s degree
• Experience in teaching support is preferable
• Experience in working with industry is preferable
5. Behaviours required
• Highly responsible
• Open, willing to collaborate
• Innovative and dynamic
• Capacity to work under pressure to tight deadlines
6. Other requirements
• Detail-oriented",2025-05-16,Giáo Dục,Tài Chính,1,Thạc Sĩ,1,08:30 - 16:30,Nhân viên,"Corporate Finance, English Fluency, Finance, Statistical Software, Teaching Experience",Tiếng Anh,Người Việt Nam,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Giáo Dục, Giảng Dạy/Đào Tạo, Tài Chính, Corporate Finance, English Fluency, Finance, Statistical Software, Teaching Experience, VGU - Vietnamese German University, Bình Dương",Giảng Dạy/Đào Tạo,25,60
Sales Supervisor GT Long An - Đức Hòa,Masan Consumer Holdings,Thương lượng,"Long An, Việt Nam, 23 Le Duan Street, District 1, HCMC","Skills
• MS Office
• Business English
Functional Competencies
• Analysis & Forecasting
• Budget Management
• Inspiring and Motivating Others
• Market, Consumer & Category Understanding
• Negotiation & Persuasion
• Sales & product/solution consulting
• Tech-savvy
Masan's Core Competencies
• Consumer Centricity
• Innovation
• Ownership
• Passion for winning
• Purposeful Leadership
Masan's Leadership Competencies
• Business Acumen
• Learning Agility
• Dealing With Ambiguity
• Vision & Strategy
• Talent Catalyst
• Leading The Change
• Integrity & Trust
• Stakeholder Management
• Collaboration
• Planning
• Problem Solving
• Result Driven
Education
• Bachelors in Business Administration or Economics",2025-05-16,Kinh Doanh,Hàng tiêu dùng,1,Cao đẳng,1,9:00 - 18:00,Nhân viên,"Budget Management, Budget Management, Business English, Forecast Analysis, Inspiring And Motivating Others, MS Office",Bất kỳ,Không hiển thị,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Hàng tiêu dùng, Budget Management, Budget Management, Business English, Forecast Analysis, Inspiring And Motivating Others, MS Office, Masan Consumer Holdings, Long An",Bán Hàng/Phát Triển Kinh Doanh,0,100
National Sales Manager (Freestyle Libre),Abbott,Thương lượng,"Melinh Point Tower, 02 Ngo Duc Ke, D1, HCMC, 02 Ngo Duc Ke, Dist. 1, HCM",,2025-05-16,Y Tế/Chăm Sóc Sức Khoẻ,Dịch vụ Y tế/Chăm sóc sức khỏe,0,Không giới hạn,Không hiển thị,,Trưởng phòng,"Medical Sales, Pharmaceutical Healthcare, Medical Device, Medical, Health Care Devices",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Y Tế/Chăm Sóc Sức Khoẻ, Dược Sĩ, Dịch vụ Y tế/Chăm sóc sức khỏe, Medical Sales, Pharmaceutical Healthcare, Medical Device, Medical, Health Care Devices, Abbott, Hồ Chí Minh",Dược Sĩ,0,100
"Sales Supervisor GT Gia Lai (1/2 Pleiku, H Đak Đoa, H Mang Yang, H Chư Prong)",Masan Consumer Holdings,Thương lượng,"Gia Lai, Việt Nam, 23 Le Duan Street, District 1, HCMC","Skills
• MS Office
• Business English
Functional Competencies
• Analysis & Forecasting
• Budget Management
• Inspiring and Motivating Others
• Market, Consumer & Category Understanding
• Negotiation & Persuasion
• Sales & product/solution consulting
• Tech-savvy
Masan's Core Competencies
• Consumer Centricity
• Innovation
• Ownership
• Passion for winning
• Purposeful Leadership
Masan's Leadership Competencies
• Business Acumen
• Learning Agility
• Dealing With Ambiguity
• Vision & Strategy
• Talent Catalyst
• Leading The Change
• Integrity & Trust
• Stakeholder Management
• Collaboration
• Planning
• Problem Solving
• Result Driven
Education
• Bachelors in Business Administration or Economics",2025-05-16,Kinh Doanh,Hàng tiêu dùng,1,Cao đẳng,1,9:00 - 18:00,Nhân viên,"Budget Management, Budget Management, Business English, Forecast Analysis, Inspiring And Motivating Others, MS Office",Bất kỳ,Không hiển thị,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Hàng tiêu dùng, Budget Management, Budget Management, Business English, Forecast Analysis, Inspiring And Motivating Others, MS Office, Masan Consumer Holdings, Gia Lai",Bán Hàng/Phát Triển Kinh Doanh,0,100
Kỹ Sư Giám Sát Điện,Navigos Search,"$ 700-1,300 /tháng","Nam Dinh, Vietnam, Hanoi / HCMC","• Tốt nghiệp ĐH các chuyên ngành liên quan đến điện/Có chứng chỉ Giám sát Điện.
• Nắm bắt tốt kiến thức kỹ thuật trong lĩnh vực công việc.
• Có kinh nghiệm trong thiết kế, lập quy hoạch, đấu thầu các công trình điện đến điện áp 110kV.
• Có khả năng lãnh đạo đội ngũ giám sát dưới quyền kiểm tra, thanh tra, giám sát các hoạt động thi công các công trình do nhà thầu thực hiện theo đúng bản vẽ và thông số kỹ thuật của hợp đồng, đảm bảo các yêu cầu về Chất lượng – Khối lượng – Thời gian.
• Có kinh nghiệm trong quản lý, vận hành, xử lý sự cố hệ thống điện, ưu tiên cho cấp 110kV.
• Ưu tiên các ứng viên am hiểu về các quy định trong xây dựng, quản lý, vận hành và kinh doanh điện.
• Ưu tiên biết sử dụng máy tính Microsoft Word, Excel, Power Point và Auto Cad.
• Ưu tiên kỹ năng giao tiếp nói và viết bằng tiếng Anh.
• Có khả năng giải quyết vấn đề.",2025-05-16,Khoa Học & Kỹ Thuật,Dịch vụ Y tế/Chăm sóc sức khỏe,3,Cử nhân,Không hiển thị,09:00 - 18:00,Nhân viên,"Giám Sát Cơ Điện, Thiết Kế Điện, Quản Lý Hệ Thống, Lập Trình AutoCAD, Kỹ sử điện",Tiếng Anh,Không hiển thị,Không hiển thị,Thứ 2 đến Thứ 6,Toàn thời gian,"Khoa Học & Kỹ Thuật, Cơ Khí & Điện Lạnh, Dịch vụ Y tế/Chăm sóc sức khỏe, Giám Sát Cơ Điện, Thiết Kế Điện, Quản Lý Hệ Thống, Lập Trình AutoCAD, Kỹ sử điện, Navigos Search, Nam Định",Cơ Khí & Điện Lạnh,0,100
Senior Investor Relations Specialist,Công Ty Cổ Phần Vua Nệm,"$ 900-1,200 /tháng","Tòa nhà Ocean Park, số 1 Đào Duy Anh, Đống Đa, Hà Nội, Tầng 2, Tòa nhà Ocean Park, Số 01 Đào Duy Anh, Đống Đa, Hà Nội/- Địa điểm làm việc: 59/13z Ấp Tiền Lân 1, Xã Bà Điểm, Huyện Hóc Môn, Hồ Chí Minh",,2025-05-16,Ngân Hàng & Dịch Vụ Tài Chính,Bán lẻ/Bán sỉ,2,Cử nhân,1,8:30 - 18:00,Nhân viên,"Communication Skills, Equity Research, Financial Analysis, Problem-solving, Statistical Reporting",Bất kỳ,Không giới hạn,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Ngân Hàng & Dịch Vụ Tài Chính, Đầu Tư Tài Chính, Bán lẻ/Bán sỉ, Communication Skills, Equity Research, Financial Analysis, Problem-solving, Statistical Reporting, Công Ty Cổ Phần Vua Nệm, Hà Nội",Đầu Tư Tài Chính,15,60
[Hà Nội] Giám Sát Bán Hàng Tài Năng / Sales Supervisor (Fresher) - GT,Diana Unicharm JSC,14tr-15tr ₫/tháng,"CT KCN Vĩnh Tuy, Vĩnh Hưng, Hoàng Mai, Hà Nội, Việt Nam, Vinh Tuy Industrial Zone, Linh Nam, Hoang Mai, Hanoi","- Vừa mới tốt nghiệp/ sắp tốt nghiệp Đại học hoặc mới ra trường 1-2 năm.
- Kỹ năng Excel tốt
- Có nhiệt huyết, thích kinh doanh và theo đuổi mục tiêu đến cùng.
- Nhanh nhẹn, không ngại di chuyển, không ngại khó và có khả năng làm việc dưới áp lực cao
- Kỹ năng giao tiếp, đàm phán, thuyết phục tốt.",2025-05-16,Kinh Doanh,Hàng tiêu dùng,0,Cử nhân,5,08:00 - 17:00,Nhân viên,"Excel, Kế Hoạch Kinh Doanh, Tiếng Anh, Đàm Phán",Bất kỳ,Người Việt Nam,Bất kỳ,Thứ 2 đến Thứ 7,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Hàng tiêu dùng, Excel, Kế Hoạch Kinh Doanh, Tiếng Anh, Đàm Phán, Diana Unicharm JSC, Hà Nội",Bán Hàng/Phát Triển Kinh Doanh,0,100
[Urgent] Key Account Supervisor/ Giám Sát Bán Hàng Kênh MT (Hà Nội),Diana Unicharm JSC,15tr-24tr ₫/tháng,"CT KCN Vĩnh Tuy, Vĩnh Hưng, Hoàng Mai, Hà Nội, Việt Nam, Vinh Tuy Industrial Zone, Linh Nam, Hoang Mai, Hanoi","- Tốt nghiệp Đại học trở lên.
- Có kinh nghiệm vị trí tương đương Giám sát, Trưởng nhóm là lợi thế.",2025-05-16,Kinh Doanh,Hàng tiêu dùng,1,Cử nhân,1,09:00 - 18:00,Nhân viên,"Kỹ năng tổ chức, Lập Kế Hoạch Bán Hàng, Xây Dựng Mối Quan Hệ, Kỹ năng tổ chức",Tiếng Việt,Người Việt Nam,Bất kỳ,Thứ 2 đến Thứ 7,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Hàng tiêu dùng, Kỹ năng tổ chức, Lập Kế Hoạch Bán Hàng, Xây Dựng Mối Quan Hệ, Kỹ năng tổ chức, Diana Unicharm JSC, Hà Nội",Bán Hàng/Phát Triển Kinh Doanh,0,100
Nhân Viên Thu Mua - Nhân Viên Bảo Trì - Nhân Viên Kỹ Thuật Sản Xuất,Công Ty TNHH Ô Tô Vina,"$ 400-1,000 /tháng","Đường N2, Khu công nghiệp Nhơn Trạch V, TT. Hiệp Phước, H. Nhơn Trạch, T. Đồng Nai, Đường N 2, KCN Nhơn Trạch 5, Huyện Nhơn Trạch, Đồng Nai",,2025-05-16,Hành Chính Văn Phòng,Ô tô,0,Cử nhân,Không hiển thị,,Nhân viên,"Ô Tô, Thu Mua, Bảo Trì, CNC, Điện",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Hành Chính Văn Phòng, Thu Mua, Ô tô, Ô Tô, Thu Mua, Bảo Trì, CNC, Điện, Công Ty TNHH Ô Tô Vina, Đồng Nai",Thu Mua,0,100
