Title,Company,Salary,Location,Job Requirements,Date Posted,Industry,Field,Experience,Education,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Work Date,Work Type,Keyword,Industry1,Age Min,Age Max
Warehouse Manager,"Leshines (Hainan) Supply Chain Management Co., Ltd","$ 1,500-2,500 /tháng","Lô CN05, khu công nghiệp hỗ trợ Đồng Văn 3, phường Hoàng Đông, Thị xã Duy Tiên, Tỉnh Hà Nam, Việt Nam, Việt Á Tower, tòa nhà Việt Á, Phố Duy Tân, P, Dịch Vọng Hậu, Cầu Giấy, Hanoi, Vietnam","任职要求：
1. 会使用中文沟通。物流、供应链管理、工商管理或相关领域的学士学位；
2. 5-7年物流或仓库管理经验；
3. 具有管理大规模仓库运营的成功经验。深刻了解物流流程、库存管理和运输；
4. 出色的领导能力、沟通能力和人际交往能力。能够在压力下有效工作并管理多个优先事项；
熟练使用物流管理软件（如WMS、TMS）；
5. 具备物流或供应链管理认证（如APICS、CSCMP）者优先。

Yêu cầu công việc:
1. Có khả năng giao tiếp bằng tiếng Trung；Bằng cử nhân chuyên ngành hậu cần, quản lý chuỗi cung ứng, quản trị kinh doanh hoặc các lĩnh vực liên quan;
2. 5-7 năm kinh nghiệm trong lĩnh vực hậu cần hoặc quản lý kho;
3. Kinh nghiệm thành công trong việc quản lý hoạt động kho bãi quy mô lớn. Hiểu biết sâu sắc về quy trình hậu cần, quản lý hàng tồn kho và vận chuyển;
4. Kỹ năng lãnh đạo, giao tiếp và ứng xử tuyệt vời. Khả năng làm việc hiệu quả dưới áp lực và quản lý nhiều ưu tiên;
Thành thạo sử dụng phần mềm quản lý logistics (như WMS, TMS);
5. Ưu tiên ứng viên có chứng chỉ quản lý hậu cần hoặc chuỗi cung ứng (như APICS, CSCMP).",2025-05-15,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi,Chuỗi cung ứng,3,Không giới hạn,Không hiển thị,,Nhân viên,"Warehouse Management, Logistics, Warehouse Operation",Tiếng Trung Quốc,Không hiển thị,Không hiển thị,,Toàn thời gian,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Quản Lý Kho & Phân Phối, Chuỗi cung ứng, Warehouse Management, Logistics, Warehouse Operation, Leshines (Hainan) Supply Chain Management Co., Ltd, Hà Nam",Quản Lý Kho & Phân Phối,0,100
"Giám sát Bán hàng (Ngành hàng bánh kẹo/Đà Lạt-Đức Trọng, Bà Rịa-Vũng Tàu)",Perfetti Van Melle (Viet Nam) Limited,Thương lượng,"Đà Lạt + Đức Trọng, Bà Rịa + Vũng Tàu, Tại Perfetti Van Melle, Lot N, Street No.26, Song Than Industrial Zone No.2, Di An District, Binh Duong Province","• Tối thiểu 3 – 5 năm kinh nghiệm làm Giám sát ngành hàng tiêu dùng nhanh (FMCG) cho kênh GT
• Am hiểu địa bàn và có mối quan hệ khách hàng tốt
• Có kiến thức về kênh bán hàng, hiểu kênh phân phối cũng như về kĩ năng quản lí đội ngũ, Nhà phân phối và chăm sóc khách hàng.
• Có kỹ năng thuyết phục, thương lượng với đối tác",2025-05-15,Kinh Doanh,Hàng tiêu dùng,3,Trung học,3,9:00 - 18:00,Trưởng phòng,"Chăm Sóc Khách Hàng, Cung Ứng Ngành Hàng, Quản Trị Đội Ngũ, Thuyết Phục, Kênh Gt",Bất kỳ,Người Việt Nam,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Hàng tiêu dùng, Chăm Sóc Khách Hàng, Cung Ứng Ngành Hàng, Quản Trị Đội Ngũ, Thuyết Phục, Kênh Gt, Perfetti Van Melle (Viet Nam) Limited, Lâm Đồng, Bà Rịa - Vũng Tàu, Hà Nội",Bán Hàng/Phát Triển Kinh Doanh,25,50
Medical & Sales Training Manager,A France Pharmaceutical Company,Thương lượng,"186 Nguyễn Văn Hưởng, Thảo Điền, Quận 2, Thành phố Hồ Chí Minh, Việt Nam, 186 Nguyễn Văn Hưởng, Thảo Điền, Thủ Đức City, HCMC","Educational Qualifications
• Bachelor’s degree or higher in Pharmacy, Medicine, Life Sciences, Business Administration, Marketing, or related fields.
• An MBA or professional certifications in Medical Affairs, Learning & Development, or Sales Training are a plus.

Experience
• 10+ years in the pharmaceutical industry, with at least 3 years in sales training or medical affairs.
• Experience as a Sales Training Manager, Medical Manager, or Sales Manager is preferred.
• Strong background in medical expertise, regulatory compliance, and sales training.

Competencies
I. Technical Competencies
• Medical Expertise: Deep understanding of pharmacology, pathology and medical analysis.
• Sales & Marketing Knowledge: Strong grasp of the pharmaceutical sales cycle, market dynamics, and business models.
• Product Knowledge: Ability to train sales teams on clinical benefits, safety profiles, and competitive positioning.
• Learning & Development Strategy: Experience in developing training roadmaps and competency frameworks.
• Sales Coaching & Field Training: Ability to conduct field coaching, real-world sales simulations, and role-playing exercises.
• Regulatory Compliance: Understanding of pharmaceutical regulations, Pharmacovigilance, and medical marketing compliance.
• Digital Learning & E-Learning: Experience in LMS platforms, virtual coaching, and digital training methodologies.
II. Behavioral Competencies
• Communication Skills: Clear and effective communication with sales teams, KOLs, and internal stakeholders.
• Collaboration: Strong cross-functional coordination with Marketing, Sales, and Medical teams.
• Adaptability: Quick response to training challenges, adjusting methods to market and regulatory changes.
• Influencing: Ability to engage and motivate sales teams, build credibility with KOLs.
• Attention to Detail & Accuracy: Ensuring training content is scientifically accurate and compliance-ready.
III. Leadership Competencies
• Strategic Thinking: Developing long-term training roadmaps aligned with business goals.
• Coaching & Mentorship: Enhancing sales team skills through hands-on coaching and structured development.
• Innovation: Driving a learning culture and implementing modern training technologies.
• Resistance Handling: Managing resistance to new training methods, ensuring compliance.

Additional Requirements
• Fluency in English and Vietnamese.",2025-05-15,Nhân Sự/Tuyển Dụng,Dược phẩm,10,Cử nhân,1,08:30 - 17:30,Trưởng phòng,"Communication Skills, Functional Knowledge, Sales Management, Training Development",Tiếng Anh,Người Việt Nam,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Nhân Sự/Tuyển Dụng, Đào Tạo Và Phát Triển, Dược phẩm, Communication Skills, Functional Knowledge, Sales Management, Training Development, A France Pharmaceutical Company, Hồ Chí Minh",Đào Tạo Và Phát Triển,15,60
[Slimcase] Graphic Designer,Slimcase,$ 600-800 /tháng,"8- 10 Tạ Hiện, Phường Thạnh Mỹ Lợi, Tp. Thủ Đức, Thành phố Thủ Đức, Thành phố Hồ Chí Minh","- Tốt nghiệp đại học chuyên ngành Thiết kế Đồ họa, Truyền thông Thị giác hoặc lĩnh vực liên quan.
- Tối thiểu 3 năm kinh nghiệm thiết kế đồ họa/thị giác, ưu tiên trong ngành thời trang, phong cách sống hoặc công nghệ.
- Hồ sơ năng lực mạnh, thể hiện rõ kỹ năng bố cục, kiểu chữ, dàn trang và xây dựng thương hiệu.
- Thành thạo Adobe Creative Suite (Illustrator, Photoshop, InDesign).
- Tỉ mỉ trong từng chi tiết và có khả năng quản lý dự án độc lập.
- Có gu thẩm mỹ tốt về thiết kế tối giản, cao cấp.
• Biết về đồ họa chuyển động (motion graphics) hoặc thiết kế 3D là một lợi thế.
Lưu Ý Quan Trọng Khi Ứng Tuyển",2025-05-15,Thiết Kế,Thương mại điện tử,3,Không giới hạn,Không hiển thị,,Mới Tốt Nghiệp,"Thiết Kế Đồ Họa, Graphic Design, Design, Adobe Photoshop, Adobe Illustrator",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Thiết Kế, Thiết Kế Đồ Họa, Thương mại điện tử, Thiết Kế Đồ Họa, Graphic Design, Design, Adobe Photoshop, Adobe Illustrator, Slimcase, Hồ Chí Minh",Thiết Kế Đồ Họa,23,27
Brand Manager_Cosmetic,A France Pharmaceutical Company,Thương lượng,"Hồ Chí Minh, Việt Nam, 186 Nguyễn Văn Hưởng, Thảo Điền, Thủ Đức City, HCMC","Education: Bachelor's degree in Marketing, Pharmaceutical, Business Administration, or related fields. Master’s degree is a plus.

Experience:
• Minimum of 4 years in brand or marketing management, preferably in FMCG, cosmetics, pharmaceuticals, or healthcare sectors.
• Proven experience developing and executing successful brand strategies for healthcare and cosmetic products.
• Experience managing product launches and marketing campaigns and healthcare professionals, baby care and cosmetics are must.
• Experience in international work environments or partnerships with foreign clients is advantageous.

Specific Knowledge
- In-depth understanding of the cosmetics and healthcare market, consumer behavior, and competitive landscape.
- Familiarity with compliance and regulatory requirements in the pharmaceutical and cosmetics industries.

Competencies
- Ability to develop brand and marketing strategies suitable for FMCG, cosmetics, and healthcare sectors.
- Strong communication and interpersonal skills to build relationships with key stakeholders, including medical professionals and retail partners.
- Data-driven mindset and creative problem-solving skills to optimize marketing effectiveness and ROI.
- Up-to-date with the latest marketing trends and best practices in the cosmetics and healthcare industries.
- Expertise in using social media platforms (Facebook, Instagram, LinkedIn, TikTok) for brand promotion.
- Ability to analyze web traffic metrics, search engine performance, and email marketing KPIs.",2025-05-15,"Tiếp Thị, Quảng Cáo/Truyền Thông",Dược phẩm,4,Cử nhân,1,08:30 - 17:30,Trưởng phòng,"Communication Skills, Digital Marketing, Market Analysis, Marketing Strategy Development, P&L Management",Tiếng Anh,Người Việt Nam,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Quản Lý Thương Hiệu, Dược phẩm, Communication Skills, Digital Marketing, Market Analysis, Marketing Strategy Development, P&L Management, A France Pharmaceutical Company, Hồ Chí Minh",Quản Lý Thương Hiệu,25,100
Operations Manager,Apparelize LLC,"$ 1,000-3,000 /tháng",39 Le Hien Mai,"Must-Have:
• 2–5 years experience in Operations, Project Management, or similar roles (e-commerce, digital media, or startups
preferred)
• Proven ability to manage multiple projects and teams simultaneously
• Strong problem-solving and process-optimization skills
• Proactive communication style and ownership mentality
• Fluent in English (written & verbal)

Nice-to-Have:
• Experience with Shopify operations, ClickUp/Notion, and team coordination tools
• Understanding of content workflows and digital marketing processes
• Familiarity with startup culture and fast-moving environments",2025-05-15,CEO & General Management,Thương mại điện tử,2,Cử nhân,Không hiển thị,,Trưởng phòng,"Operations Management, Project Management, Process Optimization, Ecommerce Operations, Team Cooperation",Tiếng Anh,Không hiển thị,Không hiển thị,,Toàn thời gian,"CEO & General Management, Quản Lý Cấp Cao, Thương mại điện tử, Operations Management, Project Management, Process Optimization, Ecommerce Operations, Team Cooperation, Apparelize LLC, Hồ Chí Minh",Quản Lý Cấp Cao,0,100
Sourcing And Supply Chain Director,Source Of ASIA,Thương lượng,"The Galleria Metro 6 Office Tower, 59 Vo Nguyen Giap, Thao Dien Ward, Thu Duc City, Ho Chi Minh City, 59 Xa Lo Ha Noi, Thao Dien Ward, Thu Duc City (District 2), Ho Chi Minh City, Vietnam",,2025-05-15,Hậu Cần/Xuất Nhập Khẩu/Kho Bãi,Nội thất/Gỗ,10,,,,Giám Đốc và Cấp Cao Hơn,"Leadership, Managing Business Growth, Strategic Planning, Supply Chain, Sourcing, Sourcing, Sourcing, Sourcing",Bất kỳ,Không giới hạn,,,,"Hậu Cần/Xuất Nhập Khẩu/Kho Bãi, Quản Lý Chuỗi Cung Ứng, Nội thất/Gỗ, Leadership, Managing Business Growth, Strategic Planning, Supply Chain, Sourcing, Sourcing, Sourcing, Sourcing, Source Of ASIA, Hồ Chí Minh",Quản Lý Chuỗi Cung Ứng,0,100
F&B Director,CÔNG TY TNHH Silverland Hospitality,Thương lượng,"14-16 Lê Lai và 15-17 và 19 (tầng 1 sau + 2) Nguyễn An Ninh, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh, Việt Nam, Silverland Hospitality, 14-16 Le Lai St., Dist.1, HCMC",,2025-05-15,Dịch Vụ Ăn Uống,Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch,5,,,,Giám Đốc và Cấp Cao Hơn,"F&B Management, Kinh Nghiệm F&B, Operation F&B, F&B, Dịch Vụ Ẩm Thực",Tiếng Anh,Không hiển thị,,,,"Dịch Vụ Ăn Uống, Quản Lý F&B, Dịch vụ lưu trú/Nhà hàng/Khách sạn/Du lịch, F&B Management, Kinh Nghiệm F&B, Operation F&B, F&B, Dịch Vụ Ẩm Thực, CÔNG TY TNHH Silverland Hospitality, Hồ Chí Minh",Quản Lý F&B,0,100
Chuyên Viên Kinh Doanh Quốc Tế,Công Ty CP Dây Cáp Điện Việt Nam - Cadivi,Thương lượng,"CADIVI Tower, 70-72 Nam Kỳ Khởi Nghĩa, Phường Nguyễn Thái Bình, CADIVI Tower, 70-72 Nam Kỳ Khởi Nghĩa, P. Nguyễn Thái Bình, Q. 1, TP. Hồ Chí Minh","Học vấn: Tốt nghiệp Đại học chuyên ngành Kinh doanh/ Thương mại/ Quản trị kinh doanh và các chuyên ngành có liên quan.
Kinh nghiệm: Từ 03 năm trong lĩnh vực Kinh doanh Quốc tế/ Xuất nhập khẩu
Ngoại ngữ: Thông thạo 4 kỹ năng (IELT 6.5+ hoặc TOIEC 800+); biết thêm ngôn ngữ khác là một lợi thế.
Kiến thức:
- Kiến thức về quản trị kinh doanh, ngoại thương, kinh doanh quốc tế
- Có kiến thức về Xuất nhập khẩu là một lợi thế
- Am hiểu về thị trường quốc tế, quy trình xuất nhập khẩu, Logistics, Chính sách thương mại toàn cầu.
Kỹ năng:
- Kỹ năng giao tiếp, đàm phán và truyền đạt thông tin mạch lạc và chuyên nghiệp.
- Kỹ năng phân tích, xử lý vấn đề và khả năng đưa ra giải pháp tối ưu.
Thái độ: Ham học hỏi, máu lửa, đam mê kinh doanh và chủ động

Thời gian làm việc: Từ Thứ 2 - Thứ 7 (có thể WFH 2 ngày Thứ 7/tháng)",2025-05-15,Kinh Doanh,Nhập khẩu/Xuất khẩu,3,Cử nhân,Không hiển thị,,Nhân viên,"Xuất Nhập Khẩu, Tiếng Anh, Sales Export, Kinh Doanh Quốc Tế, Kinh Doanh",Tiếng Anh,Người Việt Nam,Bất kỳ,,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Nhập khẩu/Xuất khẩu, Xuất Nhập Khẩu, Tiếng Anh, Sales Export, Kinh Doanh Quốc Tế, Kinh Doanh, Công Ty CP Dây Cáp Điện Việt Nam - Cadivi, Hồ Chí Minh",Bán Hàng/Phát Triển Kinh Doanh,0,100
Trợ Lý/chuyên Viên Hành Chính Biết Tiếng Trung (Admin Staff Chinese Required),CÔNG TY TNHH Ô Tô BYD (Việt Nam),"$ 500-1,500 /tháng","Quận 7, Thành phố Hồ Chí Minh, Việt Nam, COBI TOWER 2, Đường Số 8, Khu đô thị Phú Mỹ Hưng, Tân Phú, Quận 7, Hồ Chí Minh, Việt Nam","- Tốt nghiệp Đại học trở lên các chuyên ngành.
- Thành thạo tiếng Trung, có thể trao đổi công việc lưu loát bằng tiếng Trung.
- Ưu tiên ứng viên cử nhân ngành Ngôn ngữ Trung, có trên 2 năm kinh nghiệm ở vị trí tương đương.
- Chăm chỉ, chịu khó, nhiệt tình, có tinh thần hợp tác làm việc theo nhóm và khả năng làm việc độc lập.
- Tính cách ổn định, cẩn thận, chu đáo, tỉ mỉ, tập trung để ra được kết quả, có khả năng thực hiện công việc tốt, có tư duy logic tốt và ham học hỏi.
- Có khả năng giao tiếp tốt, cẩn thận và có kỹ năng đa nhiệm; đồng thời cần thích ứng với yêu cầu công việc thay đổi, linh hoạt trong việc xử lý các nhiệm vụ đột xuất do lãnh đạo giao.
- Có thể đi công tác và chịu được áp lực cao trong công việc.

Ứng viên vui lòng nộp CV bằng tiếng Trung, ưu tiên nộp CV song ngữ Trung-Việt",2025-05-15,Hành Chính Văn Phòng,Ô tô,0,Không giới hạn,Không hiển thị,,Nhân viên,"Tiếng Trung lưu loát, Hành chính - Admin, HSK, Hành Chính Tổng Hợp, Nghiệp vụ hành chính",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Hành Chính Văn Phòng, Hành Chính, Ô tô, Tiếng Trung lưu loát, Hành chính - Admin, HSK, Hành Chính Tổng Hợp, Nghiệp vụ hành chính, CÔNG TY TNHH Ô Tô BYD (Việt Nam), Hồ Chí Minh",Hành Chính,0,100
