Title,Company,Location,Job Description,Job Requirements,Date Posted,Industry,Field,Experience,Education,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Work Date,Work Type,Keyword,Industry1,Age Min,Age Max,salary_avg_vnd,salary_mins,salary_maxs
HR Officer,ROCK WOOL KHAI HOAN JOINT STOCK COMPANY,"Lô C4, đường số 2, KCN Hải Sơn, ấp Bình Tiền 2, Xã Đức Hòa, Tỉnh Tây Ninh, Việt Nam","1. Job Purpose & Scope
The Human Resources Generalist is responsible for managing and executing a wide range of HR and administrative functions, including recruitment, timekeeping, payroll, labor contracts, employee evaluation, social insurance, personal income tax (PIT), and office administration. This position supports both blue-collar and white-collar staffing needs and ensures compliance with labor laws and company policies. The role also plays a key part in maintaining an efficient, compliant, and well-organized HR operation that supports business objectives and employee satisfaction.
2. Key Result Areas
• Recruitment
• Performance Management
• Training & Development
• Compensation & Benefit Management
• HR Administratives & Services
3. Key Responsibilities & Job Content
• Recruitment: Ensure timely recruitment of office staff and blue-collar workers with the right qualifications and job fit.
• Performance Management: Prepare HR information for the performance review process. Assist the HOD and Manager for the performance analysis, career development and training support.",,,,,,,,,,,,,,,,"Nhân Sự/Tuyển Dụng, Nhân Sự Tổng Hợp, Sản xuất, Communication, HR Management, Performance Management, Recruitment, Training Development, ROCK WOOL KHAI HOAN JOINT STOCK COMPANY, Long An",,0,100,,,
"Country Sales Manager, Logistics (Chinese Speaking)",Page Group Vietnam,"Ho Chi Minh, Ho Chi Minh city","The Country Sales Manager will be responsible for driving revenue growth, expanding the client base, and building strategic partnerships in the Vietnam market. This role requires strong logistics industry knowledge, proven sales experience, and fluency in Chinese to liaise with headquarters and Chinese-speaking clients effectively.


Description

As a Country Sales Manager, your main responsibilities will include:

 * Developing and executing sales strategies to achieve revenue goals.
 * Identifying and pursuing new business opportunities within the transport & distribution industry.
 * Building and maintaining strong relationships with clients and partners.
 * Conducting market analysis to understand client needs and industry trends.
 * Collaborating with internal teams to ensure seamless service delivery.
 * Preparing and presenting sales reports and forecasts to stakeholders.
 * Negotiating contracts and agreements with clients.
 * Representing the company at industry events and networking opportunities.


Profile

As a successful Country Sales Manager, you should have:

 * Bachelor's degree in Business, Logistics, Supply Chain, or related field.
 * Minimum 3-5 years of proven sales experience in logistics, freight forwarding, or supply chain management.
 * Fluent in Chinese (Mandarin) and Vietnamese; proficiency in English is a plus.
 * Strong negotiation, communication, and interpersonal skills.
 * Solid understanding of cross-border trade and customs regulations.
 * Ability to work independently and manage multiple projects simultaneously.
 * Willingness to travel domestically and internationally when required.


Job Offer

Our client offers you:

 * A competitive gross salary.
 * Incentives and performance-based bonuses.
 * Opportunities for career growth and professional development.
 * A supportive and collaborative work environment.
 * Exposure to a growing company in the transport & distribution industry.

If you are ready to take on this exciting challenge as a Country Sales Manager, we encourage you to apply and make an impact in the transport & distribution industry.


To apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Lam Nguyen on .","As a successful Country Sales Manager, you should have:

- Bachelor's degree in Business, Logistics, Supply Chain, or related field.
- Minimum 3-5 years of proven sales experience in logistics, freight forwarding, or supply chain management.
- Fluent in Chinese (Mandarin) and Vietnamese; proficiency in English is a plus.
- Strong negotiation, communication, and interpersonal skills.
- Solid understanding of cross-border trade and customs regulations.
- Ability to work independently and manage multiple projects simultaneously.
- Willingness to travel domestically and internationally when required.",2025-08-14,,,1.0,Không giới hạn,Không hiển thị,09:00 - 18:00,Trưởng phòng,,Tiếng Anh,Không hiển thị,Không hiển thị,Thứ 2  đến Thứ 6,Toàn thời gian,"Page Group Vietnam, Hồ Chí Minh",,0,100,,,
Specialist - Brand Marketing,Saigon Beer - Alcohol - Beverage Corporation (Sabeco),"Ho Chi Minh City, Vietnam, 45A Lý Tự Trọng, Bến Nghé, District 1, Ho Chi Minh City, Vietnam","Brand Strategy & Planning
• Assist the Brand Manager in crafting and refining the long-term brand vision and strategy for Bia Saigon Brand.
• Implement consumer, cultural, and market insights into actionable brand plans to achieve brand health & market share goals.
• Collect and analyze data of brand performance, market trends, consumer behavior, and competitor activities for strategic decision.
Campaign Development & Management
• Lead the development of through-the-line (TTL) communication campaigns that reinforce brand equity and emotional connection with consumers.
• Collaborate closely with creative, media, and PR agencies to ensure impactful storytelling and execution.
• Monitor & optimize campaign performance to deliver aligned KPIs.
• Cooperate with Trade Marketing to develop & execute brand activities & POSM materials to create seamless experience from ATL to BTL (both on & off-premise).
• Be fully in charge of completing paperwork and documents required for each assigned project.
Budget & Project Management
• Manage brand budget in alignment with brand plans & ensure precise monthly budget landing.
• Lead for Pre & Post evaluation of assigned projects to ensure ROI efficiency to justify marketing investments.","• Bachelor’s degree in marketing/economy or related fields.
• Minimum 3 – 4 years of experience working in Brand Marketing in FMCG or similar position in Advertising agencies.
• Strong analytical thinking & business acumen with a passion for storytelling.
• Experience working with creative/media agencies and managing 360° campaigns.
• Ability to work independently and under high pressure.
• Excellent communication skills in both English and Vietnamese.
• Highly collaborative and able to manage multiple stakeholders.",2025-08-14,"Tiếp Thị, Quảng Cáo/Truyền Thông",Sản xuất,3.0,Cử nhân,1,9:00 - 18:00,Nhân viên,"Analytical Thinking, Campaign Development, Communication, Marketing Strategy, Project Management",Bất kỳ,Người Việt Nam,Bất kỳ,Thứ 2  đến Thứ 6,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Tiếp Thị, Sản xuất, Analytical Thinking, Campaign Development, Communication, Marketing Strategy, Project Management, Saigon Beer - Alcohol - Beverage Corporation (Sabeco), Hồ Chí Minh",Tiếp Thị,0,100,,,
People & Culture (P&C) Manager - FMCG,Navigos Search,"Ho Chi Minh, Hanoi / HCMC","We are seeking an experienced and people-oriented People & Culture Manager to lead initiatives related to talent acquisition, learning & development, employee engagement, and employer branding. This role is key to driving our company values, mission, and vision throughout the organization while ensuring the right people are in the right roles and equipped to grow.
Responsibilities
1. Talent Acquisition & Employer Branding
 • Lead the recruitment process to ensure timely hiring of the right talents in the right positions.
 • Expand and diversify recruitment channels to attract top talent.
 • Develop and implement employer branding strategies to position the company as an employer of choice.
 • Standardize recruitment processes to improve efficiency and candidate experience
2. Learning & Development
 • Design and execute annual training & development strategies aligned with organizational needs.
 • Manage internal and external training programs, including on-the-job training, in-house workshops, and specialized courses.
 • Develop future leadership programs to build the talent pipeline
3. People Engagement & Culture
 • Lead initiatives to strengthen company values and principles across all levels.
 • Communicate mission, vision, and core values effectively within the organization.
 • Conduct employee engagement surveys, analyze results, and propose actionable solutions.
 • Implement strategies to improve employee retention and workplace satisfaction
4. Organizational Analysis & Improvement
 • Analyze current organizational status and recommend improvement solutions.
 • Work closely with management to align HR strategies with business goals.
5. Leadership & Team Development
 • Build and manage a capable HR team, including taking over one recruitment specialist to the P&C function.
 • Provide coaching and guidance to team members to ensure continuous improvement","• Bachelor’s degree in Human Resources, Business Administration, or related field.
• Minimum 8–10 years of HR experience, with at least 3 years in a managerial role.
• Proven track record in talent acquisition, learning & development, and employee engagement.
• Experience in FMCG or manufacturing is preferred.
• Strong analytical, strategic planning, and problem-solving skills.
• Excellent communication and interpersonal abilities.
• Mature personality (preferably age 35+).
• Open to both male and female candidates; preference for candidates with strong leadership presence.",2025-08-14,Nhân Sự/Tuyển Dụng,Hàng tiêu dùng,8.0,Cử nhân,Không hiển thị,09:00 - 18:00,Trưởng phòng,"Talent Acquisition, People Development, Employee Engagement, Strategic Planning, Training Development",Tiếng Anh,Không hiển thị,Không hiển thị,Thứ 2  đến Thứ 6,Toàn thời gian,"Nhân Sự/Tuyển Dụng, Nhân Sự Tổng Hợp, Hàng tiêu dùng, Talent Acquisition, People Development, Employee Engagement, Strategic Planning, Training Development, Navigos Search, Hồ Chí Minh",Nhân Sự Tổng Hợp,0,100,63250000.0,57500000.0,69000000.0
Head Of BOD Office,Saigon Beer - Alcohol - Beverage Corporation (Sabeco),"Ho Chi Minh City, Vietnam, 45A Lý Tự Trọng, Bến Nghé, District 1, Ho Chi Minh City, Vietnam","SABECO is seeking a highly skilled and experienced professional to lead its BOD Office.
Key Responsibilities
Corporate Services
• Responsible for Corporate Services Division, including corporate secretarial, corporate governance and compliance matters under the HOSE listing rules in respect of SABECO and its group of entities.
Board Affairs
• Responsible for BOD Affairs Division, facilitating BOD and BOD Committees’ meetings and ensuring all necessary preparation are in place to support smooth and effective meetings.
Leadership & Operational Oversight
• Develop the working plan and operational framework for the BOD Office.
• Define and assign roles and responsibilities within the BOD Office team.
• Supervise and guide teams responsible for BOD Affairs, Corporate Services, and Investor Relations (IR).
• Design and implement systems and processes to ensure efficient workflows and regulatory compliance.
• Propose engagement of external consultants or service providers for specialized governance or compliance needs.
Strategic & Special Projects
• Support the execution of special projects or strategic initiatives assigned by the BOD or BOM.
• Communicate effectively with major shareholders as required.","Qualifications
• Bachelor’s degree in Law, Business Administration, or Finance.
• Minimum 10 years of experience in COMSEC in listed companies or large corporations.
• Knowledgeable in Listing Regulations, Enterprise Law, and Company Charter.
• Proven leadership and team management skills.
• Excellent communication, stakeholder engagement, and project management abilities.
• Effective in collaborating with internationally minded executives.
• Possesses strong problem-solving skills, thrives in collaborative environments, and embraces a growth mindset focused on continuous improvement.
• High level of professionalism, integrity, and discretion.
• Skilled in planning, managing, coordinating, and supervising work activities.
• Proficient in statistics, data synthesis, analysis, and report writing.
• Experienced in managing dossiers and maintaining accurate documentation.
• Proficient in document editing and preparation.
• Able to work under pressure.
• Advanced English language proficiency.
• Strong proficiency in Microsoft Office, especially PowerPoint and Excel.",2025-08-14,CEO & General Management,Khác,10.0,Cử nhân,1,9:00 - 18:00,Giám Đốc và Cấp Cao Hơn,"Data Analysis, Governance, Leadership, Project Management, Stakeholder Management",Bất kỳ,Người Việt Nam,Bất kỳ,Thứ 2  đến Thứ 6,Toàn thời gian,"CEO & General Management, Quản Lý Cấp Cao, Khác, Data Analysis, Governance, Leadership, Project Management, Stakeholder Management, Saigon Beer - Alcohol - Beverage Corporation (Sabeco), Hồ Chí Minh",Quản Lý Cấp Cao,0,100,,,
(SENIOR) ASSOCIATE - BOD AFFAIRS,Saigon Beer - Alcohol - Beverage Corporation (Sabeco),"5th floor, Vincom B, 72 Le Thanh Ton Street, Ben Nghe Ward, Ho Chi Minh City, 45A Lý Tự Trọng, Bến Nghé, District 1, Ho Chi Minh City, Vietnam","Job accountability

Board and Audit Committee meetings
Responsible for preparation of meeting materials
Providing support to BOD’s Members
Coordinating among the Board, Management and Department

Job responsibility

Scheduling, organizing and preparing BOD meeting and Audit Committee meeting
Coordinating with Internal Audit to support Audit Committee matters
Coordinating with relevant departments for and reviewing all meeting materials e.g. agendas, papers for BOD meetings and Audit Committee meeting
Coordinating with Corporate Office for all related matters of directors for the meeting (e.g. book hotel, travelling schedule)
Following up on actions from meetings
Providing support to directors for any enquiries and/or requests they may have
Coordinating with Corporate Services and IR to for organizing the Organizing general meeting of shareholder
Coordinating with Corporate Services and IR to ensure compliance with laws and regulation and internal procedural/administrative.
Filing documents related to BOD Affair matters
Other tasks as assigned by the Line Manager","Bachelor of Economics; or Bachelor of Finance; or Bachelor of Laws; or Bachelor of Languages; or other relevant skills
Experience 2 years
Understand the relevant regulations for public companies, listed companies, corporate law, and company charter, etc.
Understand about administrative procedures, and law’s regulations in assigned works
Skills in statistics, synthesis, data analysis and report writing
Manage dossiers and documents
Document editor
Team work
Strong sense of responsibility and compliance with law;",2025-08-14,Pháp Lý,Khác,2.0,Cử nhân,1,9:00 - 18:00,Nhân viên,"Data Analysis, Document Management, Office Procedures, Public Company Compliance, Teamwork",Bất kỳ,Người Việt Nam,Bất kỳ,Thứ 2  đến Thứ 6,Toàn thời gian,"Pháp Lý, Tư Vấn Pháp Lý, Khác, Data Analysis, Document Management, Office Procedures, Public Company Compliance, Teamwork, Saigon Beer - Alcohol - Beverage Corporation (Sabeco), Hồ Chí Minh",Tư Vấn Pháp Lý,28,50,,,
Nhân Viên Kinh Doanh Bất Động Sản Biết Tiếng Hàn,Công Ty TNHH Dịch Vụ Hoty,"Khu Đô Thị Sala, Thủ Thiêm, Quận 2, Thành phố Hồ Chí Minh, Việt Nam, 70 Đường 51, An Phú, Quận 2, Thành phố Hồ Chí Minh, Việt Nam","- Tư vấn và chăm sóc khách hàng Hàn Quốc có nhu cầu thuê/mua bất động sản.
- Dẫn khách tham quan căn hộ, thương lượng và ký kết hợp đồng.
- Quản lý và cập nhật thông tin sản phẩm bất động sản.
- Không áp KPI, khách hàng và data công ty cung cấp.","- Giao tiếp tiếng Hàn tốt (ưu tiên ứng viên có TOPIK 5 trở lên).
- Có kinh nghiệm trong lĩnh vực bất động sản hoặc sales là lợi thế.
- Kỹ năng giao tiếp và đàm phán tốt, tác phong chuyên nghiệp.
- Nhanh nhẹn, trung thực, chịu được áp lực công việc.",2025-08-14,Bất Động Sản,Bất Động Sản/Cho thuê,0.0,Không giới hạn,Không hiển thị,,Nhân viên,"Tiếng Hàn Giao Tiếp, Bất Động Sản cho thuê, Sales",Tiếng Hàn Quốc,Không hiển thị,Không hiển thị,,Toàn thời gian,"Bất Động Sản, Cho Thuê & Quản Lý Căn Hộ, Bất Động Sản/Cho thuê, Tiếng Hàn Giao Tiếp, Bất Động Sản cho thuê, Sales, Công Ty TNHH Dịch Vụ Hoty, Hồ Chí Minh",Cho Thuê & Quản Lý Căn Hộ,22,35,,,
Kỹ Thuật Viên Vận Hành Máy - Nhà Máy Bình Dương,PepsiCo Foods Vietnam Company,"Số 3-4-5, Đường số 2, KCN Sóng Thần 3, Thành phố Thủ Dầu Một, Bình Dương, No. 3-4-5 Lot CN2, Street No. 2, Song Than 3 IP, Thu Dau Mot City, Binh Duong","1. Vận hành
a) Thực hiện việc giao nhận ca cụ thể, chi tiết theo danh mục đã được quy định vào đầu, cuối mỗi ca.
b) Vận hành thiết bị được phân công trong khu vực chế biến để thực hiện kế hoạch sản xuất hàng ngày theo đúng quy trình. Kiểm tra tình trạng vận hành ổn định, an toàn của thiết bị trong ca làm việc.
c) Kiểm tra chất lượng sản phẩm tại vị trí được phân công bao gồm: kiểm PAE cho sản phẩm, kiểm độ dày lát cắt khoai tây, kiểm hàm lượng ẩm, muối….theo tần suất quy định trong quá trình sản xuất.
d) Vệ sinh thiết bị, nhà xưởng theo quy trình vệ sinh sau khi sản xuất và theo kế hoạch vệ sinh của nhà máy.
e) Giám sát việc tuân thủ các nội quy, quy định của nhân viên nhà thầu, nhân viên 3rd party… trong khu vực làm việc và báo cáo khi có trường hợp vi phạm cho Tổ trưởng sản xuất khu vực chế biết hoặc giám sát sản xuất.
f) Tuân thủ các quy trình làm việc, quy định về: an toàn lao động, GMP, Bảo vệ môi trường, 5S….. nhằm đạt được các chỉ tiêu kiểm soát (KPIs) trong khu vực sản xuất.
2. Báo cáo
a) Ghi chép đầy đủ, chính xác, đúng tần suất các thông số vận hành thiết bị, kết quả kiểm tra chất lượng sản phẩm, số lượng nguyên vật liệu đã sử dụng trong ca… vào các biểu mẫu báo cáo.
b) Báo cáo ngay các sự cố phát sinh trong ca sản xuất cho tổ trưởng sản xuất khu vực chế biến hoặc giám sát sản xuất
3. Khác
• Đề xuất các cải tiến hay tham gia các nhóm dự án (nếu có) nhằm nâng cao năng suất lao động, giảm chi phí sản xuất, nâng cao hiệu quả sản xuất.","• Làm việc theo 3 ca
• Tốt nghiệp trung cấp kỹ thuật trở lên.
• Kỹ năng giao tiếp.
• Ưu tiên hiểu biết về hệ thống quản lý chất lượng và VSATTP.
• Cẩn thận, chăm chỉ, có tính kỷ luật, trung thực.",2025-08-14,Sản Xuất,Hàng tiêu dùng,0.0,Không giới hạn,Không hiển thị,,Nhân viên,"Vận Hành, Công Nghệ Thực Phẩm",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Sản Xuất, Hoạch Định & Quản Lý Sản Xuất, Hàng tiêu dùng, Vận Hành, Công Nghệ Thực Phẩm, PepsiCo Foods Vietnam Company, Bình Dương",Hoạch Định & Quản Lý Sản Xuất,0,100,,,
"QA Engineer (Kỹ Sư Chất Lượng, Tiếng Anh Thành Thạo )",Công Ty TNHH LG Innotek Việt Nam Hải Phòng,"Lô I-4, Khu công nghiệp Tràng Duệ, thuộc khu kinh tế Đình Vũ Cát Hải, Xã Hồng Phong, Huyện An Dương, Thành phố Hải Phòng, Lô I, 4, Khu công nghiệp Tràng Duệ, Xã Hồng Phong, Huyện An Dương, TP Hải Phòng, Việt Nam","* Process Quality Assurance
- The Process Quality Assurance (PQA) control process to ensure high quality product output.
PQA person in charge have to build internal and external audit plan as well as coordinately cooperate with related department to follow plan built.
- Manage key technical parameters from system and give warning as soon as irregularities detected.
- Ensure that all quality requirement achieved before new production phase.
* Outgoing Quality Assurance
- Control inspection output performance out going quality control.
- Analysis of inspection result and feedback supplier to improve quality
- Manage final product quality, process out going quality assurance FA/CA (Final analysis / corrective action).
- Manage and improve product inspection standard based on customer requirement.
* Reliability Quality Assurance
- To make test plan follow up Customer requirement to ensure the reliability of product
- To make test plan when receiving test request about new development, 4M change or abnormal issue
- To make solution and improvement action report to manager whenever the defect is found out during testing time
- To make investment plan for Lab annually
* Incoming Quality Assurance
- Control 4M change (Machine, Man, Material, Method) and quality improvement from suppliers
- Control and evaluate KPI and grade of suppliers
- Do audit and evaluation suppliers periodly and request to follow the quality requirements","• Well basis quality concept.
• English communication
• Fluent in Ms. Office specially Excel and Power-point
• Able to work with high pressure, work overtime and work for a long time
• Able to work independent and team work
• Has experience working in foreign factory at the same position
• University Graduation of related technical majors (compulsory to fresh graduate)",2025-08-14,Sản Xuất,Sản xuất,1.0,Cử nhân,1,,Nhân viên,"Quality Assurance, manufacturing, Process Improvement, English, Qc",Bất kỳ,Không hiển thị,Không hiển thị,Thứ 2  đến Thứ 6,Toàn thời gian,"Sản Xuất, Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng, Sản xuất, Quality Assurance, manufacturing, Process Improvement, English, Qc, Công Ty TNHH LG Innotek Việt Nam Hải Phòng, Hải Phòng",Đảm Bảo Chất Lượng/Kiểm Soát Chất Lượng/Quản Lý Chất Lượng,0,100,,,
Nhân Viên Kế Toán (Tiếng Trung),Công Ty TNHH My Call,"155 Nguyễn Gia Trí, Phường 25, Bình Thạnh, Hồ Chí Minh, Việt Nam, Số 155, Đường Nguyễn Gia Trí, Phường Thạnh Mỹ Tây, Thành phố Hồ Chí Minh,","- Xử lý các nghiệp vụ kế toán văn phòng.
- Lập hóa đơn/hoá đơn thuế GTGT.
- Lập và theo dõi sổ sách thu – chi.
- Quản lý công nợ phải thu/phải trả.
- Quản lý và theo dõi quỹ tiền mặt.
- Lập chứng từ khấu trừ thuế.
- Thực hiện đối chiếu ngân hàng.
- Lập và kê khai các báo cáo thuế hàng tháng: thuế TNDN, thuế GTGT, thuế kinh doanh đặc thù (nếu có).
- Thực hiện các công việc khác theo yêu cầu của cấp trên.","- Tiếng Trung giao tiếp tốt tương đương HSK6 (không cần bằng).
- Tốt nghiệp đại học chuyên ngành Kế toán, Tài chính hoặc các ngành liên quan.
- Tối thiểu 2 năm kinh nghiệm ở vị trí kế toán tổng hợp.
- Thành thạo phần mềm kế toán doanh nghiệp.
- Chăm chỉ, chịu khó, có khả năng làm việc dưới áp lực cao.
- Tỉ mỉ, cẩn thận, có tinh thần trách nhiệm cao, trung thực và đúng giờ.
- Có tinh thần đồng đội và đam mê công việc được giao.
- Kỹ năng giao tiếp, đàm phán tốt; phản ứng nhanh, xử lý tình huống linh hoạt; xây dựng được mối quan hệ tốt với đồng nghiệp và đối tác; ham học hỏi, sẵn sàng nâng cao năng lực bản thân.",2025-08-14,Kế Toán/Kiểm Toán,Bán lẻ/Bán sỉ,2.0,Cử nhân,Không hiển thị,,Nhân viên,"Tiếng Trung, Kế Toán Xuất Hóa Đơn, Kế Toán Tổng Hợp, Kế Toán Hóa Đơn, Kế Toán",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Tổng Hợp, Bán lẻ/Bán sỉ, Tiếng Trung, Kế Toán Xuất Hóa Đơn, Kế Toán Tổng Hợp, Kế Toán Hóa Đơn, Kế Toán, Công Ty TNHH My Call, Hồ Chí Minh",Kế Toán Tổng Hợp,0,100,,,
