Title,Company,Salary,Location,Job Description,Job Requirements,Date Posted,Industry,Field,Experience,Education,Vacancy,Work Time,Level,Skills,Language,Nationality,Gender,Work Date,Work Type,Keyword,Industry1,Age Min,Age Max
HCM - Nhân Viên Xử Lý Khiếu Nại Khách Hàng,Coca-Cola Beverages Vietnam,Thương lượng,"485 Xa Lộ Hà Nội, Linh Trung, Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam, 485 Ha Noi Highway, Linh Trung Ward, Thu Duc Dist, HCM","- Handle customer’s complaints about company’s services and products  
- Record and answer customer’s queries or passing to relevant departmentsfor critical issues                    
- Follow up, visit customers and feedback timely                    
- Reporting & other","- College graduated/ Bachelor’s degree is preferred.
- Mimimun 1 year working experience in FMCG Company, preferably working in CIC dept
- Dynamic, good listening and problem solving skill
- Good communication skills
- Problem solving techniques relevant to immediate problem solving
- Able to work in good co-operate",2025-05-20,Dịch Vụ Khách Hàng,Hàng tiêu dùng,1,Cao đẳng,Không hiển thị,,Nhân viên,"Customer Service & After Service, Complaint Handling, Complaint Management, problem-solving skills, Communication and negotiation skills",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Dịch Vụ Khách Hàng, Dịch Vụ Khách Hàng, Hàng tiêu dùng, Customer Service & After Service, Complaint Handling, Complaint Management, problem-solving skills, Communication and negotiation skills, Coca-Cola Beverages Vietnam, Hồ Chí Minh",Dịch Vụ Khách Hàng,0,100
HCM - Sales Force Effectiveness (SFE) Executive,Coca-Cola Beverages Vietnam Ltd.,Thương lượng,"485 Ha Noi Highway, Linh Trung, Thu Duc City, HCMC, 485 Ha Noi Highway, Linh Trung Ward, Thu Duc Dist, HCM","Job Summary
Responsible for ensuring an effective SFE Execution plan and monitoring in-place in order to create differentiation and value to the market

Key Responsibilities
- Assist Route To Market (RTM) Execution Manager: Sales incentive scheme, SOPs, review data, to develop & execute succession plannings for Sales Force,…
- To consolidate, review and analyse target plan and reports: KPI report; Incentive report; monthly sales target plan…
- To co-ordinate with Sales admin and HR team to make sure Sales Incentive Plan well implemented and properly monitor through payment reporting and tracking system
- SFE Admin works as assignment of RTM Execution Manager
- Support Region on schemes induction; review data; review SFE templates; SOPs induction...
- Support NMEM to set up and connect all meetings of ME HO and Region review meeting; write meeting minutes of ME HO meeting (if needed)","- University/ bachelor’s degree (Min required)
- At least 2-year experience in Sales/Trade Marketing/Commercial
- Teamwork to act in conjunction with Department, Region and other cross-functionally
- Communication to convey information, ideas and receive others communication extracting the intent and content
- Execution and Commercial Skills
- Understanding channel/outlet segmentation methodology and segmented execution approach
- Fluent in using Microsoft Office
- Report Analysis skill

***Please note that by submitting an application to us, you consent to our processing of personal data about you that is provided by you and otherwise lawfully collected by us (which may include sensitive data) for our company's recruitment purpose. Where you provide us personal data of others, you further undertake that we are permitted to receive and process such data for the purpose for which you provided it. You may send your queries or request for support concerning our personal data processing activities to hrvn(at)coca-cola.com.vn. To better understand our personal data processing practices, please visit www.swirecocacola.com/en/Others/Privacy-Policies.html to the full Privacy Policy of Coca-Cola Beverages Viet Nam Limited.",2025-05-20,"Tiếp Thị, Quảng Cáo/Truyền Thông",Hàng tiêu dùng,0,Không giới hạn,Không hiển thị,,Nhân viên,"Commercial Analysis, Sales Report Analysis, Negotiation Skills, Stakeholder Management, Project Management",Tiếng Anh,Không hiển thị,Không hiển thị,,Toàn thời gian,"Tiếp Thị, Quảng Cáo/Truyền Thông, Nghiên Cứu & Phân Tích Thị Trường, Hàng tiêu dùng, Commercial Analysis, Sales Report Analysis, Negotiation Skills, Stakeholder Management, Project Management, Coca-Cola Beverages Vietnam Ltd., Hồ Chí Minh",Nghiên Cứu & Phân Tích Thị Trường,0,100
Merchandiser - Upholstery Furniture,CÔNG TY TNHH Allingham HOME,"$ 1,200-2,000 /tháng","D2, HCM city, Di An, Binh Duong, Phòng 14A16, Khu biệt thự Fideco, số 14, đường Thảo Điền, phường Thảo Điền, Thành phố Thủ Đức, TP.HCM","Position Overview:
We are seeking a dynamic and versatile individual to fill the role of Merchandiser. The ideal candidate will be adept at managing merchandise planning, while also possessing strong organizational and interpersonal skills to assist in handling client interactions and administrative duties.

Key Responsibilities:
1. Conduct market research to stay informed about industry trends, competitor products, and customer preferences.
2. Collaborate with suppliers to negotiate terms, prices, and delivery schedules.
3. Monitor inventory levels and work closely with the procurement team to ensure optimal stock levels.
4. Develop and implement merchandising strategies to maximize sales and profitability.","Qualifications:
1. Education and Experience:
• Bachelor’s degree in Business, Marketing, or a related field.
• Proven experience in Furniture merchandising (3+years) - Experience in a trading/sourcing business and upholstery is a big plus
2. Skills:
• Strong negotiation and communication skills.
• Proficient in using Microsoft Office Suite and other relevant software.
• Excellent organizational and multitasking abilities..
3. Personal Attributes:
• Detail-oriented with a proactive approach to problem-solving.
• Ability to work independently and collaboratively in a fast-paced environment.
• Exceptional interpersonal skills and the ability to build strong relationships with clients.
• Ability to handle confidential information with discretion.

Benefits:
Competitive salary commensurate with experience
Health insurance
Professional development opportunities

Join us at Allingham Home and be part of a team that pushes the boundaries of furniture design, setting new standards for creativity and innovation. Your passion for design and commitment to excellence will find a home here. We look forward to welcoming you to our vibrant and inspiring workplace!",2025-05-20,Dệt May/Da Giày,Nội thất/Gỗ,0,Không giới hạn,Không hiển thị,,Nhân viên,"Furniture Manufactoring, Furniture Design, Technical Design, Product Design, Industrial Design",Tiếng Anh,Không hiển thị,Không hiển thị,,Toàn thời gian,"Dệt May/Da Giày, Quản Lý Đơn Hàng, Nội thất/Gỗ, Furniture Manufactoring, Furniture Design, Technical Design, Product Design, Industrial Design, CÔNG TY TNHH Allingham HOME, Hồ Chí Minh, Bình Dương",Quản Lý Đơn Hàng,0,100
GL & Reporting Senior Supervisors,Central Retail in Vietnam,Thương lượng,"163 Phan Dang Luu Str., Ward. 1, Phu Nhuan Dist, HCMC, 163 Phan Dang Luu, Ward 1, Phu Nhuan District, HCMC","Key Responsibilities (depending on the final job match):
• Ensure timely and accurate monthly closing in ERP system (NetSuite/SAP)
• Manage and reconcile general ledger and trial balance accounts
• Prepare tax declarations: VAT, PIT, CIT, FCT, License Tax
• Work with Tax Authorities on audits and inspections
• Prepare and consolidate financial statements and internal management reports
• Review inventory reports and ensure data consistency
• Issue and adjust VAT invoices when required
• Support annual audits and handle ad-hoc accounting tasks","Qualifications:
• Bachelor's degree in Accounting, Auditing, Finance, or related fields
• 2–3 years of relevant experience (audit or tax experience is a plus)
• Familiar with ERP systems (NetSuite, SAP, or AX)
• Strong knowledge of Vietnamese accounting and tax regulations
• Excellent analytical skills and attention to detail
• Proficiency in Microsoft Excel
• Good communication in English and Vietnamese",2025-05-20,Kế Toán/Kiểm Toán,Kế toán/Kiểm toán,2,Cử nhân,2,9:00 - 18:00,Nhân viên,"Accounting, ERP Systems, Financial Reporting, Reporting, Tax Compliance",Bất kỳ,Không giới hạn,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Kế Toán/Kiểm Toán, Kế Toán Tài Chính, Kế toán/Kiểm toán, Accounting, ERP Systems, Financial Reporting, Reporting, Tax Compliance, Central Retail in Vietnam, Hồ Chí Minh",Kế Toán Tài Chính,0,100
Chuyên Viên Tuyển Dụng - Talent Acquisition - Khối Tổ Chức Nhân Sự (HO25.224),Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB,Thương lượng,"18 Lê Văn Lương, Trung Hòa, Cầu Giấy, Hà Nội., 19th – MB Building,18 Le Van Luong Str., Cau Giay Dist. Hanoi, Vietnam","Phân tích nhu cầu

• Xác định các Skills trọng tâm và các Kinh nghiệm ưu tiên thông qua trao đổi với Hiring Managers
• Tìm kiếm và phân tích dữ liệu thị trường lao động, xu hướng ngành khi cần thiết.

Tìm nguồn và thu hút ứng viên (Sourcing & Talent Attraction)

• Tối ưu việc sử dụng các kênh nhằm tạo cơ hội tốt nhất cho ứng viên tiếp cận các thông tin đăng tuyển: Các nền tảng đăng tuyển, các Cộng đồng chuyên môn, các Mạng xã hội.
• Biết cách sử dụng các công cụ Sourcing trong lĩnh vực tuyển dụng

Sàng lọc và đánh giá ứng viên (End-to-End Recruitment Process)
• Sàng lọc và đánh giá ứng viên thông qua quá trình: Nhận diện thông tin trên hồ sơ, tổ chức và thu thập kết quả test chuyên môn, phỏng vấn lựa chọn cùng Hiring Manager.
• Đảm bảo trải nghiệm ứng viên tích cực, nhất quán và chuyên nghiệp trong suốt hành trình ứng tuyển (Candidate Experience).

Quản lý offer và đàm phán (Offer Management & Negotiation)

• Chuẩn bị thư mời làm việc (Offer Letter), đàm phán chính sách lương thưởng và điều kiện làm việc, đảm bảo hiệu quả trên cơ sở win-win cho các bên
• Hướng dẫn ứng viên các th tục chuẩn bị cho ngày gia nhập.

Phát triển thương hiệu nhà tuyển dụng (Employer Branding)

• Đề xuất ý tưởng sáng tạo và độc đáo để triển khai các chiến dịch tiếp cận tới các Ứng viên tiềm năng
• Tiếp nối và thúc đẩy xây dựng MB là một tổ chức ham học hỏi và hạnh phúc, là tổ chức phát triển bền vững, nơi mỗi nhân viên được khai phá tiềm năng và theo đuổi đam mê.","• Tốt nghiệp Cử nhân thuộc khối ngành Kinh tế hoặc khối ngành Xã hội.
• Có kiến thức và yêu thích các hoạt động tìm kiếm và thu hút ứng viên tiềm năng (Sourcing and Talent Attraction)
• Có khả năng phân tích và nhận diện ứng viên theo Skills của các nhóm chuyên môn.
• Khả năng sử dụng Tiếng Anh tương đương TOEIC 650 trở lên.

Sẽ tốt hơn nếu bạn:
• Có kinh nghiệm làm việc trong các tổ chức lớn, hoặc lĩnh vực Tài chính – Ngân hàng.
• Yêu thích việc khai thác sử dụng các công cụ: AI, phân tích và trực quan hóa dữ liệu VBA Excel, SQL, PowerBI",2025-05-20,Nhân Sự/Tuyển Dụng,Cung cấp nhân lực,1,Cử nhân,1,09:00 - 18:00,Nhân viên,"Nhân Sự, Recruitment, Talent Acquisition, Tuyển Dụng, Employer Branding",Bất kỳ,Không giới hạn,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Nhân Sự/Tuyển Dụng, Tuyển Dụng, Cung cấp nhân lực, Nhân Sự, Recruitment, Talent Acquisition, Tuyển Dụng, Employer Branding, Ngân Hàng Thương Mại Cổ Phần Quân Đội - MB, Hà Nội",Tuyển Dụng,15,60
Trưởng Phòng Sản Xuất,Công Ty Cổ Phần Sản Xuất Và Công Nghệ Nhựa Pha Lê,"$ 1,100-1,300 /tháng","Lô đất CN 4.1 khu công nghiệp MP Đình Vũ, khu kinh tế Đình Vũ - Cát Hải, Phường Đông Hải 2, Quận Hải An, Hải Phòng, số 4 N09 đường Huỳnh Văn Nghệ, KĐT mới Sài Đồng, Phường Phúc Đồng, quận Long Biên, Hà Nội","Pha Lê Group là tập đoàn đa ngành, đa lĩnh vực . Chúng tôi tự hào là nhà sản xuất ván sàn SPC xuất khẩu thị trường Mỹ và Châu âu hàng đầu tại Việt Nam.
Để đáp ứng kế hoạch sản xuất kinh doanh trong thời gian tới, chúng tôi cần tuyển vị trí Trưởng Phòng Sản xuất cho 2 Nhà máy tại KCN Đình Vũ Hải Phòng, cụ thể công việc như sau :
1. Công tác quản trị hệ thống
- Điều hành, quản lý, chịu trách nhiệm kết quả thực hiện công việc thuộc lĩnh vực sản xuất tại nhà máy SPC HP hoặc theo sự phân công của BGĐ
- Phối hợp cùng BP.HCNS xây dựng mô tả công việc từng vị trí, đánh giá năng suất lao động từng vị trí, xây dựng định biên nhân sự bộ phận
- Phối hợp cùng BP.HCNS tiến hành phỏng vấn, lựa chọn nhân sự phù hợp, đáp ứng đủ định biên lao động từng giai đoạn
- Xây dựng, hoạch định nguồn nhân lực cho BP.Sản xuất phù hợp với định hướng phát triển của công ty.
- Xây dựng, đào tạo nhân sự nguồn, nhân sự kế cận đáp ứng nhu cầu nhân sự của BP.Sản xuất
- Đề xuất việc khen thưởng, kỷ luật, bổ nhiệm, thay thế
- Kiểm soát, đánh giá hiệu quả công việc của CBCNV BP.Sản xuất
- Xây dựng quy trình, hướng dẫn liên quan đến công đoạn sản xuất
- Tổ chức đào tạo về quy trình, hướng dẫn kiểm soát thuộc BP.Sản xuất ban hành cho các đơn vị liên quan
- Kiểm tra, giám sát các kế hoạch công việc, kế hoạch nhân sự, đào tạo đảm bảo hoạt động và tiết giảm chi phí cho doanh nghiệp.
2. Công tác chuyên môn
- Phân tích dữ liệu sản xuất, đánh giá năng lực sản xuất giữa các xưởng, cân đối nguồn lực triển khai kế hoạch sản xuất.
- Chịu trách nhiệm trước BGĐ về việc kiểm soát thông số vận hành, định mức công suất, quy trình vận hành, hướng dẫn thao tác,…đã được phê duyệt, ban hành.
- Phân tích dữ liệu sản xuất, nhìn nhận các vấn đề , đưa ra các đề xuất cải tiến giúp nâng cao năng suất lao động, năng lực sản xuất, tiết giảm chi phí,..
- Chịu trách nhiệm kiểm soát tuân thủ tại bộ phận, đảm bảo: an toàn vệ sinh lao động, PCCC, 5S, bảo vệ môi trường làm việc, phân loại rác,...
- Quản lý, điều hành, phân công, thực hiện các nhiệm vụ quản lý chung của bộ phận theo chức năng nhiệm vụ đã được phân công
- Quản lý, Phân công và hỗ trợ nhân viên trong công việc
4. Báo cáo
- Chịu trách nhiệm về công tác báo cáo của Phòng sản xuất trước BGĐ/BLĐ công ty
- Thực hiện các nhiệm vụ khác theo yêu cầu từ cấp trên","- Trình độ Đại học trở lên các chuyên ngành Kỹ thuật, Cơ khí, Quản trị
- Có kinh nghiệm tối thiểu 3 năm tại vị trí tương đương tại các DN theo mô hình sản xuất > 300 lao động
- Am hiểu sâu về quản lý sản xuất : 4M, 7 công cụ QC, PDCA, Kaizen,.....
- Có kinh nghiệp lập kế hoạch sản xuất, tổ chức triển khai theo kế hoạch
- Am hiểu về máy móc, thiết bị là một lợi thế
- Có kế hoạch quản lý nhân sự, phân công công việc, đào tạo nhân sự
- Có kiến thức về PCCC, An toàn vệ sinh lao động, bảo vệ môi trường làm việc
- Khả năng tư duy, phân tích số liệu, giải quyết vấn đề và cải tiến trong sản xuất
- Kỹ năng giao tiếp tốt, khả năng lôi cuốn đám đông.
- Kỹ năng làm việc nhóm, độc lập hiệu quả",2025-05-20,Sản Xuất,Sản xuất,3,Cử nhân,1,,Trưởng phòng,"Quản Lý Sản Xuất, Production Planning, Kế Hoạch Sản Xuất, Production Management",Tiếng Việt,Người Việt Nam,Nam,,Toàn thời gian,"Sản Xuất, Hoạch Định & Quản Lý Sản Xuất, Sản xuất, Quản Lý Sản Xuất, Production Planning, Kế Hoạch Sản Xuất, Production Management, Công Ty Cổ Phần Sản Xuất Và Công Nghệ Nhựa Pha Lê, Hải Phòng",Hoạch Định & Quản Lý Sản Xuất,0,100
Automation Engineer - Ha Noi,Coca-Cola Beverages Vietnam,Thương lượng,"Km 17 Quốc Lộ 1, Xã Duyên Thái, Huyện Thường Tín, Thành phố Hà Nội., 485 Ha Noi Highway, Linh Trung Ward, Thu Duc Dist, HCM","1.Coordinate with Manufacturing to run the production planning as per plan / Line Efficiency
- Regular maintenance and calibration of electrical machinery and automation equipment to ensure a high reliability of operation in the process according to set standards.
- Execute daily, weekly operations and shutdown activities according to schedule.
- Commas the equipment, process after finishing job and hand over to customer for approval
- Isolate the relevant the procedures/process in Plant
- Collate, documented the information and provide feedback to relevant customer

2.Execute Maintenance Activities
- Perform maintenance routine checklist and report all abnormalities to Manufacturing Team Leader, Packing Manager and Engineering Leader
- Quickly fix any problems that caused breakdown Electrical machine and automation equipment
- Execute specialised automation and calibration related maintenance on inspection equipment, including back-up management of PLC programs, HMI, Frequency Inverter, machines and product related parameter lists and HMI passwords.
- Maintain and repair carried out as per works order and meet all the quality requirements. 
- Obtain work order for all planned maintenance activities and controller.
- Obtain to conduct activities for all relevant information ex: drawings, manufacturers manual etc.
- Spares and tools required are located and obtained
- Jobs prioritized to maximize product quality and plant availability (within set maintenance schedule)
- Permit to stop plant/ process and time required is negotiated with relevant customers.
- Provide feedback timeously to planner/ controller on deviations to schedule and on work to be completed. 

3.Completed documentation
- All works orders completed and signed off by maintenance controller
- All reporting standards adhered to as per work instructions. 
- All root cause analyses recorded and documented according to required format.
- Record equipment downtime in area of responsibility to establish repetitive problems 
- Create work orders and reserve parts on SAP PM for repair-or unplanned maintenance

4.Coaching technicians & Operators
- Be trained about the operational system and process issues is identified
- Coach and and train for Operators to perform activities (within their scope of expertise) to ensure proper asset care. 
- Provide the training course for Operators on autonomous (BEC) maintenance activities.

5.Improve equipment and processes in the Production Department
- Update database (if any) and report it by monthly/quarterly/yearly
- Diagnose unresolved events leading to ineffective operations and determine the root cause
- Organize and implement a plan of action and provide feedback
- Carry out new project/equipment installations within expected time frames when assigned
- Make kaizen to improve equipment and process as instruction.

6.Maintain Health & Safety standards and Quality
- Plan maintenance activities for execution according to schedule.
- Comply with all relevant Health & Safety legislation
- Identify unsafe conditions & work practices to take action plan
- Utilize relevant safety equipment and protective clothing 
- Hazardous substances are used, handled and disposed of as per TCCMS procedures.
- Report all related incidents/near miss about Health & Safety as per procedures.
- All housekeeping standards are adhered to. Cleaning is needed after work.
- Other tasks are assigned by Direct Line Manager","- University/Bachelor’s degree in Electrical Automation
- At least 03 working years of experiences about automation position and meet all the quality maintenance requirements in -beverages industry
- Computer: MS Office
- Siemens S7 Fundamentals
- Read electrical drawings
- Read mechanical drawings
- Experience in process engineering and PID
- Variable Speed Drives
- AC Motor Maintenance
- ASI Bus networks
- Profil Bus network
- Sensor & Encoder selection and maintenance
- Pump Mech. Maint
- Pneumatics
- Gearbox Mech Repairs
- RCA (5why)
- 5S housekeeping
- Basic Equipment Care (BEC)

***Please note that by submitting an application to us, you consent to our processing of personal data about you that is provided by you and otherwise lawfully collected by us (which may include sensitive data) for our company's recruitment purpose. Where you provide us personal data of others, you further undertake that we are permitted to receive and process such data for the purpose for which you provided it. You may send your queries or request for support concerning our personal data processing activities to hrvn(at)coca-cola.com.vn. To better understand our personal data processing practices, please visit www.swirecocacola.com/en/Others/Privacy-Policies.html to the full Privacy Policy of Coca-Cola Beverages Viet Nam Limited.

***Swire Coca-Cola is committed to fostering an environment that values Diversity, Equality, Inclusion, and Belonging. We believe that a diverse workforce drives our goals and contributes to overall success. As an equal opportunity employer, Swire Coca-Cola hires talented individuals from any backgrounds and conditions. We strive to create a work environment that is respectful, inclusive, and free from any form of discrimination, harassment, or intimidation.

If you require special assistance due to disability or any other conditions during any stage of the recruitment process, please feel free to contact us via email hrvn(at)coca-cola.com.vn at any time. We appreciate your interest in joining our team and your commitment to contributing to a diverse and inclusive workplace.",2025-05-20,Khoa Học & Kỹ Thuật,Hàng tiêu dùng,3,Cử nhân,Không hiển thị,,Nhân viên,"engineer, Electrical, Cải Tiến Tự Động Hóa, Automation, AutoCAD",Bất kỳ,Không hiển thị,Không hiển thị,,Toàn thời gian,"Khoa Học & Kỹ Thuật, Kỹ Thuật Ô Tô, Hàng tiêu dùng, engineer, Electrical, Cải Tiến Tự Động Hóa, Automation, AutoCAD, Coca-Cola Beverages Vietnam, Hà Nội",Kỹ Thuật Ô Tô,0,100
Phó Xưởng Khuôn Nhựa,Navigos Search,Thương lượng,"Manufacturing site, HCMC","MÔ TẢ CÔNG VIỆC
Quản lý, điều hành và tối ưu hóa toàn bộ hoạt động của xưởng khuôn nhựa, đảm bảo chất lượng, tiến độ và hiệu quả sản xuất.
1. Quản lý Gia công Cơ khí: Lập kế hoạch, giám sát tiến độ, chất lượng và độ chính xác gia công khuôn. Phối hợp với các bộ phận liên quan để tối ưu hóa thời gian và chi phí.
2. Sửa chữa & Cải tiến Khuôn: Đánh giá nguyên nhân lỗi, triển khai sửa chữa và phối hợp cải tiến khuôn.
3. Nghiên cứu Công nghệ: Nghiên cứu và ứng dụng công nghệ mới trong chế tạo, sửa chữa, cải tiến khuôn.
4. Điều hành Sản xuất: Triển khai công việc cho nhân viên trên các máy CNC, tiện, phay, bào, lắp ráp khuôn, đảm bảo năng suất tối đa.
5. Quản lý & Bảo trì Tài sản: Sắp xếp, bảo quản máy móc thiết bị, công cụ dụng cụ; lập kế hoạch bảo trì, bảo dưỡng khuôn.
6. Đảm bảo Tiến độ: Đảm bảo thực hiện kế hoạch đúng tiến độ, xử lý kịp thời các vấn đề phát sinh.
7. Báo cáo & Đánh giá: Thống kê, báo cáo định kỳ về tiến độ khuôn; đánh giá kết quả và đề xuất cải tiến.
8. An toàn & Vệ sinh: Đảm bảo vệ sinh nhà xưởng, máy móc; thực hiện công tác an toàn lao động và PCCC.
9. Các Công việc Khác: Theo yêu cầu của Ban Giám đốc.","• Học vấn: Tốt nghiệp Đại học trở lên chuyên ngành Cơ khí Chế tạo máy, Công nghệ Kỹ thuật Cơ khí hoặc liên quan.
• Kinh nghiệm: Tối thiểu 5 năm kinh nghiệm ở vị trí tương đương tại các nhà máy chế tạo khuôn ép/thổi hoặc sản xuất nhựa.
• Kỹ năng Quản lý & Lãnh đạo: Có khả năng hoạch định chiến lược, quản lý và điều phối đội ngũ hiệu quả.
• Kỹ năng Giải quyết Vấn đề: Có khả năng ra quyết định nhanh chóng và hiệu quả.
• Kỹ năng mềm: Thuyết trình, đào tạo tốt; thành thạo tin học văn phòng.
• Kiến thức Chuyên môn:
• Am hiểu về hệ thống quản lý chất lượng (ISO 9001; 14001).
• Sử dụng thành thạo CREO, AutoCAD.
• Am hiểu về thiết kế, chế tạo, bảo trì khuôn mẫu, vật liệu khuôn, công nghệ ép/thổi nhựa.",2025-05-20,Khoa Học & Kỹ Thuật,Sản xuất,5,Cử nhân,1,08:00 - 17:00,Nhân viên,"Giải Quyết Vấn Đề, Lập Trình AutoCAD, Quản Lý Lãnh Đạo, Thuyết Trình, Sử Dụng Creo",Tiếng Việt,Người Việt Nam,Bất kỳ,Thứ 2 đến Thứ 7,Toàn thời gian,"Khoa Học & Kỹ Thuật, Cơ Khí & Điện Lạnh, Sản xuất, Giải Quyết Vấn Đề, Lập Trình AutoCAD, Quản Lý Lãnh Đạo, Thuyết Trình, Sử Dụng Creo, Navigos Search, Hồ Chí Minh",Cơ Khí & Điện Lạnh,30,45
Regional Sales Manager COFFEE,Navigos Search,Thương lượng,"Dak Lak, Vietnam, HCMC","Responsibilities:
• Build and execute the go-to-market (GTM) strategy for the products.
• Set up and manage sales operations across multiple regions and channels.
• Develop distribution networks and relationships with wholesalers, retailers, and other partners.
• Analyze market data and consumer trends to refine the sales approach.
• Monitor sales performance and implement corrective actions as needed.","• 5+ years of sales experience in FMCG, preferably in coffee, food & beverage.
• Strong understanding of sales team structure and field force management.
• Fluent in Vietnamese and good command of English.
• Willing to work from Dak Lak regularly and travel to markets as needed.
• Strong interpersonal and communication skills.
• Experience launching or expanding new brands or categories is a strong plus.",2025-05-20,Kinh Doanh,Hàng tiêu dùng,5,Không giới hạn,1,9:00 - 18:00,Trưởng phòng,"Good English Skills, Interpersonal Skills, Sales Experience, Sales Management, Vietnamese fluency",Tiếng Anh,Người Việt Nam,Bất kỳ,Thứ 2 đến Thứ 6,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Hàng tiêu dùng, Good English Skills, Interpersonal Skills, Sales Experience, Sales Management, Vietnamese fluency, Navigos Search, Đắk Lắk",Bán Hàng/Phát Triển Kinh Doanh,0,100
Area Business Development Head Asia (Pharmaceuticals),Anabion Pharmaceutical Trading Ltd,Thương lượng,,"1. Creation Area expansion strategy
2. Market Research: Analysing market trends to identify potential areas for growth and new business opportunities.
3. Relationship Management: Scouting, building, and maintaining relationships with clients, partners, and stakeholders to foster trust and long-term partnerships. Identifying and establishing strategic alliances with international organizations that align with the company's goals.
4. Portfolio Strategy Development: Collaborating with the GPS team, Area Director, and market GM to create strategies that align with business goals and target new markets.
5. Proposal Development & Business Case Creation: Preparing and presenting business proposals and full-fledged business cases.
6. Negotiation: Engaging in negotiations to close deals and secure favourable terms for the company.
7. Networking: Attending industry events, conferences, and meetings to network with potential clients and stay informed about industry developments.
8. Collaboration: Working closely with cross-functional teams, including the GPS team, regulatory, market access, government affairs, clinical trials, medical, finance, to ensure alignment and support for business initiatives.
9. Reporting: Providing updates and reports to senior management on business development progress, market conditions, and competitive landscape.


Focus Countries:
Malaysia, Indonesia, Thailand, Vietnam","- Education: Bachelor's degree in business, marketing, management, or finance. MBA preferred.
- 3-5 years of experience in business development or sales, with a focus on the ASIA region.
- Proven leadership experience with a track record of driving revenue growth.
- Excellent communication skill in English is a must
- Strong analytical skills and strategic thinking abilities.
- Ability to thrive in a fast-paced, dynamic environment and manage multiple priorities effectively.
- Willingness to travel frequently within the ASIA region.",2025-05-20,Kinh Doanh,Dược phẩm,3,Cử nhân,Không hiển thị,,Trưởng phòng,"Oncology, Business Development",Tiếng Anh,Không hiển thị,Không hiển thị,,Toàn thời gian,"Kinh Doanh, Bán Hàng/Phát Triển Kinh Doanh, Dược phẩm, Oncology, Business Development, Anabion Pharmaceutical Trading Ltd, Hồ Chí Minh",Bán Hàng/Phát Triển Kinh Doanh,0,100
